x,y,z,rx,ry,rz,rw
0.23601113891601563,-0.09667105102539063,1.4783023681640626,0.899894596421326,0.4184942170250892,0.06283213787459398,0.10537755025793828
0.23597776794433595,-0.09668238067626954,1.4783328857421876,0.8999150600822383,0.4185076480389009,0.06246384734246077,0.10536840582122735
0.23594534301757814,-0.09670049285888672,1.4783713378906251,0.8999352072408185,0.41845416424689563,0.062374951032145055,0.10546137054198737
0.23592539978027344,-0.0967079086303711,1.478416259765625,0.8999639258439536,0.41844318565116384,0.062134619379044284,0.10540171552809648
0.23591304016113282,-0.09671536254882812,1.4784637451171876,0.899942258490288,0.4184398060488085,0.06209143817040417,0.10562534451146867
0.23590277099609375,-0.09672848510742188,1.4785318603515625,0.8999181170751989,0.4184079466961609,0.06208273629846272,0.10596181649550515
0.2358804473876953,-0.09674864196777344,1.478619140625,0.8999345748132683,0.418403513899638,0.06184478095135429,0.10597869446816434
0.23585105895996095,-0.09675749206542969,1.47867529296875,0.8999494318792026,0.4183766179291997,0.06156385647276027,0.10612218055913941
0.23580392456054688,-0.09676813507080079,1.4787539062500001,0.8999736150955115,0.4183504992208225,0.06123145626352599,0.10621233778357694
0.23576889038085938,-0.09678816986083985,1.4787933349609375,0.9000083211191313,0.4183180034743004,0.061092358246466534,0.10612630988347396
0.23572744750976563,-0.09681048583984375,1.4788464355468751,0.9000123548839918,0.41828095672548304,0.06074271154679356,0.10643836381178287
0.2357052001953125,-0.096809814453125,1.4788834228515626,0.900036343649443,0.41825514580716094,0.06073653018940943,0.10634042983044252
0.23569006347656252,-0.09681082153320313,1.478924560546875,0.9000474252429741,0.41823649166314225,0.06059013610137992,0.10640349976394428
0.2356699676513672,-0.09681473541259766,1.4789730224609374,0.9000554948092652,0.41823455402306653,0.0604135410628942,0.1064432625440312
0.23565449523925783,-0.0968324203491211,1.47900830078125,0.9000583497992998,0.41823904532728756,0.0602552712505367,0.10649117431414097
0.23564132690429687,-0.09684843444824219,1.4790416259765626,0.9000619568598291,0.4182307780914002,0.060127864597285106,0.10656514425311676
0.23564077758789062,-0.09684043884277344,1.4790594482421875,0.9000727258024522,0.41827732756494546,0.059882764104168956,0.1064294135796843
0.2356500244140625,-0.096834716796875,1.4790831298828124,0.900048296141899,0.4183096058749936,0.05989710836979292,0.10650105470702885
0.2356778564453125,-0.09684211730957032,1.479108154296875,0.9000142955226595,0.41841085508692777,0.059667799097852095,0.10651937828909458
0.2357074432373047,-0.09684953308105469,1.47911474609375,0.8999674369683285,0.4184730551330566,0.05971055957047279,0.10664691087905363
0.2357337646484375,-0.09684194183349609,1.47913330078125,0.8999292878020749,0.4185239684103244,0.059792673952208504,0.10672301046994803
0.23577005004882812,-0.09683343505859375,1.479149658203125,0.8998886452380909,0.41863540202983174,0.05963700364996043,0.10671576328982153
0.23579460144042969,-0.09683763122558595,1.479160888671875,0.8998593327814801,0.418680201172826,0.05963017822935296,0.10679097432033785
0.2358154296875,-0.09684407043457031,1.4791661376953125,0.8998483620958115,0.41878154250115485,0.05946057637212271,0.10658041448283855
0.23583848571777344,-0.09683251953125001,1.4791583251953124,0.8998165769432773,0.41882690723909266,0.05943054704197296,0.1066872049915616
0.2358526153564453,-0.09681781005859375,1.479146484375,0.8998036286951063,0.4188623053991557,0.05949027965750873,0.10662413202035952
0.23587387084960937,-0.09682470703125,1.4791484375000001,0.8997878809875272,0.41892706244665784,0.05948029667655899,0.10650812121645034
0.23588601684570312,-0.0968313217163086,1.479135986328125,0.8997793145377869,0.41894599234507696,0.05960147447809717,0.10643826787366435
0.23589410400390626,-0.09682269287109375,1.4791383056640626,0.8997735914073643,0.4189923935114663,0.059440306427742035,0.10639411805735403
0.23590390014648438,-0.09680555725097656,1.479131591796875,0.8997776136135719,0.4190397707856254,0.05927187291164473,0.10626740620407704
0.23591645812988282,-0.09680995178222657,1.4791280517578125,0.8997490782594598,0.4190936357509978,0.05924661566094607,0.10631067292133418
0.23594093322753906,-0.09682534790039063,1.4791175537109376,0.8997163104917713,0.4191270343554064,0.05920312005205921,0.10648042206724405
0.23597439575195314,-0.0968193359375,1.4791241455078126,0.8996932573305894,0.41921930351917636,0.05919972237168535,0.10631373919623899
0.23599484252929687,-0.0967958984375,1.4791302490234375,0.8996746826769445,0.4192645220699229,0.059167886222693034,0.10631033403934372
0.23600947570800782,-0.09679151153564454,1.4791300048828124,0.8996743829197883,0.41933520137391,0.0590935887857737,0.10607516849394427
0.23603509521484375,-0.09681451416015625,1.4791212158203126,0.89962804315614,0.41939446336980385,0.059149504499028865,0.10620265617830904
0.2360572509765625,-0.09681159973144532,1.4791163330078125,0.899614338538869,0.4194629601325198,0.059119034292775687,0.10606510621513175
0.23610331726074218,-0.09677747344970704,1.479116943359375,0.899560430180411,0.41956158894365897,0.05903063090622721,0.10618140209810199
0.23613970947265625,-0.0967717056274414,1.479115966796875,0.8995054895624843,0.4196454841430002,0.05893813360820149,0.10636652806275199
0.23618556213378908,-0.09678800964355469,1.4791070556640624,0.8994530460123122,0.4197474331235014,0.05906238705468314,0.10633882094892701
0.2362317352294922,-0.09677433013916016,1.479101806640625,0.8993857976690761,0.41986672817110876,0.05907942030327017,0.1064271564154457
